date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:04:34	184/184	---M--	200	added ('OK')	text/plain	etag:%22aa6f79cb114ed71:0%22	https://willinkschool.org.uk/robots.txt		(from )
08:04:35	34807/34807	---M--	200	added ('OK')	text/html	date:Sun,%2014%20Nov%202021%2008:04:18%20GMT	https://willinkschool.org.uk/	C:/My%20Web%20Sites/sussy/willinkschool.org.uk/index.html	(from )
08:04:35	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2226ab9113addd31:0%22	https://willinkschool.org.uk/favicon.ico	C:/My%20Web%20Sites/sussy/willinkschool.org.uk/favicon.ico	(from https://willinkschool.org.uk/)
08:04:35	93636/93636	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/My%20Web%20Sites/sussy/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from https://willinkschool.org.uk/)
08:04:36	174/174	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Nov%202021%2008:04:19%20GMT	https://willinkschool.org.uk/Our-School/Term-Dates	C:/My%20Web%20Sites/sussy/willinkschool.org.uk/Our-School/Term-Dates.2.delayed	(from https://willinkschool.org.uk/)
08:04:36	181/181	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Nov%202021%2008:04:19%20GMT	https://willinkschool.org.uk/Payments-and-online-ordering	C:/My%20Web%20Sites/sussy/willinkschool.org.uk/Payments-and-online-ordering.3.delayed	(from https://willinkschool.org.uk/)
08:04:36	30139/30139	---M--	200	added ('OK')	text/html	date:Sun,%2014%20Nov%202021%2008:04:19%20GMT	https://willinkschool.org.uk/Our-School/Term-Dates/	C:/My%20Web%20Sites/sussy/willinkschool.org.uk/Our-School/Term-Dates/index.html	(from https://willinkschool.org.uk/)
08:04:36	175/175	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Nov%202021%2008:04:19%20GMT	https://willinkschool.org.uk/Contact/How-to-find-us	C:/My%20Web%20Sites/sussy/willinkschool.org.uk/Contact/How-to-find-us.4.delayed	(from https://willinkschool.org.uk/)
08:04:36	25625/25625	---M--	200	added ('OK')	text/html	date:Sun,%2014%20Nov%202021%2008:04:19%20GMT	https://willinkschool.org.uk/NHS-Test-and-Trace-COVID-19-testing-for-Staff-and-/	C:/My%20Web%20Sites/sussy/willinkschool.org.uk/NHS-Test-and-Trace-COVID-19-testing-for-Staff-and-/index.html	(from https://willinkschool.org.uk/)
08:04:36	27921/27921	---M--	200	added ('OK')	text/html	date:Sun,%2014%20Nov%202021%2008:04:19%20GMT	https://willinkschool.org.uk/Payments-and-online-ordering/	C:/My%20Web%20Sites/sussy/willinkschool.org.uk/Payments-and-online-ordering/index.html	(from https://willinkschool.org.uk/)
08:04:37	173/173	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Nov%202021%2008:04:21%20GMT	https://willinkschool.org.uk/Our-School/Vacancies	C:/My%20Web%20Sites/sussy/willinkschool.org.uk/Our-School/Vacancies.5.delayed	(from https://willinkschool.org.uk/)
